Centroid,Voltage Class (kV),Owner
"-95.158939, 29.818060","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-95.140203, 29.819064","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-102.836644, 32.988183","100-161","SOUTHWESTERN PUBLIC SERVICE CO."
"-97.136293, 31.571559","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.165315, 31.583083","100-161","ONCOR ELECTRIC DELIVERY CO."
"-102.736751, 34.601821","100-161","SOUTHWESTERN PUBLIC SERVICE CO."
"-102.554582, 34.708399","100-161","DEAF SMITH ELECTRIC COOP, INC"
"-93.971822, 29.868541","100-161","ENTERGY TEXAS, INC."
"-103.093337, 32.722695","100-161","SOUTHWEST PUBLIC SERVICE COMPANY"
"-99.799624, 32.463109","100-161","AEP TEXAS NORTH CO."
"-99.818776, 32.494204","100-161","AEP TEXAS NORTH CO."
"-93.987305, 29.878569","100-161","ENTERGY TEXAS, INC."
"-93.745638, 30.713927","100-161","NOT AVAILABLE"
"-106.445740, 31.861054","100-161","EL PASO ELECTRIC CO."
"-105.972067, 35.635982","100-161","PUBLIC SERVICE COMPANY OF NEW MEXICO"
"-106.213206, 35.244252","100-161","NOT AVAILABLE"
"-93.957101, 29.847859","100-161","ENTERGY TEXAS, INC."
"-94.993716, 30.385318","100-161","NOT AVAILABLE"
"-93.988112, 29.995402","100-161","ENTERGY TEXAS, INC."
"-94.046678, 29.994556","100-161","ENTERGY TEXAS, INC."
"-100.410805, 32.454079","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.750881, 30.265978","100-161","ONCOR ELECTRIC DELIVERY CO."
"-94.022114, 29.994478","100-161","ENTERGY TEXAS, INC."
"-94.031289, 30.013924","100-161","ENTERGY TEXAS, INC."
"-96.586365, 33.005252","100-161","ONCOR ELECTRIC DELIVERY CO."
"-94.050441, 30.060763","100-161","ENTERGY TEXAS, INC."
"-94.055496, 30.062144","100-161","ENTERGY TEXAS, INC."
"-100.421871, 32.632383","100-161","BIG COUNTRY ELECTRIC COOP, INC"
"-100.918201, 32.366223","100-161","ONCOR ELECTRIC DELIVERY CO."
"-100.917898, 32.366060","100-161","ONCOR ELECTRIC DELIVERY CO."
"-94.055411, 30.062392","100-161","ENTERGY TEXAS, INC."
"-94.067530, 30.041819","100-161","ENTERGY TEXAS, INC."
"-94.068672, 30.056103","100-161","ENTERGY TEXAS, INC."
"-94.072822, 30.060830","100-161","ENTERGY TEXAS, INC."
"-101.060146, 32.699321","100-161","ONCOR ELECTRIC DELIVERY CO."
"-103.172472, 32.726002","100-161","SOUTHWEST PUBLIC SERVICE COMPANY"
"-101.414108, 32.349226","100-161","ONCOR ELECTRIC DELIVERY CO."
"-101.526972, 32.479419","100-161","ONCOR ELECTRIC DELIVERY CO."
"-101.789491, 32.692430","100-161","ONCOR ELECTRIC DELIVERY CO."
"-94.081347, 30.049909","100-161","ENTERGY TEXAS, INC."
"-94.076733, 30.057901","100-161","ENTERGY TEXAS, INC."
"-94.054976, 30.057709","100-161","ENTERGY TEXAS, INC."
"-94.081553, 30.040274","100-161","ENTERGY TEXAS, INC."
"-98.238470, 29.668756","100-161","GUADALUPE VALLEY ELEC COOP INC"
"-96.616479, 33.317354","100-161","ONCOR ELECTRIC DELIVERY CO."
"-98.201643, 29.677656","100-161","GUADALUPE VALLEY ELEC COOP INC"
"-98.448182, 29.707736","100-161","BANDERA ELECTRIC COOP, INC"
"-98.217038, 29.630579","100-161","GUADALUPE VALLEY ELEC COOP INC"
"-101.505653, 31.746123","100-161","ONCOR ELECTRIC DELIVERY CO."
"-101.519461, 31.789099","100-161","ONCOR ELECTRIC DELIVERY CO."
