Centroid,Voltage Class (kV),Owner
"-97.412226, 36.284121","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.395709, 32.662994","100-161","ONCOR ELECTRIC DELIVERY CO."
"-95.090941, 29.630984","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-97.511714, 35.588352","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-96.763518, 33.159845","100-161","ONCOR ELECTRIC DELIVERY CO."
"-106.636316, 32.070901","100-161","NOT AVAILABLE"
"-99.662599, 29.024059","100-161","AEP TEXAS CENTRAL COMPANY"
"-97.551303, 35.518442","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-96.821914, 32.782760","100-161","ONCOR ELECTRIC DELIVERY CO."
"-99.426210, 35.251525","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-96.098541, 34.426205","100-161","NOT AVAILABLE"
"-96.556013, 34.640156","100-161","NOT AVAILABLE"
"-98.832692, 35.044852","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-101.377592, 37.189146","100-161","PIONEER ELECTRIC COOP, INC - (KS)"
"-96.600465, 34.712892","100-161","NOT AVAILABLE"
"-96.954591, 35.343485","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-101.386130, 37.183600","100-161","PIONEER ELECTRIC COOP, INC - (KS)"
"-99.765336, 29.236747","100-161","BANDERA ELECTRIC COOP, INC"
"-93.374294, 30.861793","100-161","NOT AVAILABLE"
"-97.641638, 26.142115","100-161","AEP TEXAS CENTRAL CO."
"-98.659004, 36.375622","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.416998, 25.938518","100-161","BROWNSVILLE PUBLIC UTILITIES BOARD"
"-95.269962, 29.775788","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-96.425058, 34.095121","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.329949, 35.306305","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.638920, 35.606769","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-98.055120, 36.376435","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-96.442960, 34.045977","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.463589, 35.418232","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-94.928787, 29.379207","100-161","TEXAS-NEW MEXICO POWER CO."
"-97.079843, 34.169465","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-94.040154, 33.414991","100-161","NOT AVAILABLE"
"-99.245337, 35.834564","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-101.645968, 36.612316","100-161","TRI-COUNTY ELECTRIC COOP, INC"
"-98.363466, 26.198113","100-161","AEP TEXAS CENTRAL CO."
"-97.716883, 30.214997","100-161","ONCOR ELECTRIC DELIVERY CO."
"-96.775310, 33.105863","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.675722, 35.468874","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-102.915639, 30.906954","100-161","TEXAS-NEW MEXICO POWER CO."
"-95.345900, 29.912625","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-97.108448, 33.952211","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.248766, 34.171436","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-101.571408, 35.801640","100-161","NORTH PLAINS ELECTRIC COOP INC"
"-106.532800, 35.085563","100-161","PUBLIC SERVICE COMPANY OF NEW MEXICO"
"-96.966043, 34.888943","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-95.443689, 34.874374","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-98.102271, 29.744691","100-161","GUADALUPE VALLEY ELEC COOP INC"
"-97.597838, 34.188495","100-161","NOT AVAILABLE"
"-96.493007, 34.084458","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-98.394407, 35.246018","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-97.698515, 35.551215","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-93.849554, 32.710639","100-161","NOT AVAILABLE"
"-97.031744, 36.054627","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-100.794955, 37.094920","100-161","NOT AVAILABLE"
"-98.394870, 35.204207","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-97.545139, 34.226318","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-93.982344, 29.882944","100-161","ENTERGY TEXAS, INC."
"-98.961843, 34.657660","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-98.738996, 35.565680","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-96.560500, 35.910343","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-93.991569, 32.571342","100-161","SOUTHWESTERN ELECTRIC POWER CO"
"-97.317186, 35.580766","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-93.975322, 32.327371","100-161","SOUTHWESTERN ELECTRIC POWER CO"
"-96.164402, 32.097334","100-161","NOT AVAILABLE"
"-93.848474, 32.325368","100-161","SOUTHWESTERN ELECTRIC POWER CO"
"-95.314779, 34.022398","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-93.286360, 30.262164","100-161","ENTERGY LOUISIANA LLC"
"-97.487610, 35.695471","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-96.116405, 32.185529","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.613021, 34.470770","100-161","NOT AVAILABLE"
"-100.789856, 37.156044","100-161","NOT AVAILABLE"
"-97.657915, 34.289197","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-97.532408, 35.334406","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-96.838198, 36.058065","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.853971, 34.350484","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-100.915854, 32.334963","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.248489, 35.459533","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.182601, 35.510105","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-98.292844, 36.376571","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-98.571657, 33.990042","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.590041, 35.298722","100-161","NOT AVAILABLE"
"-97.930109, 29.863866","100-161","BLUEBONNET ELECTRIC COOP, INC"
"-97.547723, 35.340114","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-94.672177, 31.337334","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.308173, 34.805321","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.005688, 35.623526","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-96.891853, 32.874902","100-161","ONCOR ELECTRIC DELIVERY CO."
"-94.107690, 33.402024","100-161","NOT AVAILABLE"
"-95.614847, 29.503706","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-106.627841, 35.074958","100-161","PUBLIC SERVICE COMPANY OF NEW MEXICO"
"-96.104491, 34.354922","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-95.980738, 35.524172","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-96.978267, 34.537844","100-161","NOT AVAILABLE"
"-97.282187, 36.264729","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.072171, 32.932713","100-161","ONCOR ELECTRIC DELIVERY CO."
"-94.679684, 31.358766","100-161","ONCOR ELECTRIC DELIVERY CO."
"-106.639900, 35.019905","100-161","PUBLIC SERVICE COMPANY OF NEW MEXICO"
"-97.338624, 35.674883","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.549771, 32.957239","100-161","ONCOR ELECTRIC DELIVERY CO."
"-102.127495, 35.200821","100-161","SOUTHWESTERN PUBLIC SERVICE CO."
"-97.648441, 30.354945","100-161","ONCOR ELECTRIC DELIVERY CO."
"-98.352593, 30.546995","100-161","PEDERNALES ELECTRIC COOP, INC"
"-98.227038, 35.058197","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-96.774369, 34.697010","100-161","NOT AVAILABLE"
"-98.351696, 35.100836","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-97.198543, 34.145003","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-101.862456, 33.781045","100-161","SOUTH PLAINS ELECTRIC COOP INC"
"-97.655437, 35.565774","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-101.114282, 36.443592","100-161","NORTH PLAINS ELECTRIC COOP INC"
"-96.693569, 32.562778","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.941640, 34.471633","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-97.547534, 35.319770","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.451694, 35.653819","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-99.485859, 36.557369","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-96.919655, 32.739096","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.094068, 36.125958","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-102.204554, 31.907392","100-161","ONCOR ELECTRIC DELIVERY CO."
"-98.492558, 35.390894","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-97.033263, 36.180874","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-93.876044, 32.850670","100-161","SOUTHWESTERN ELECTRIC POWER CO"
"-97.207487, 35.488007","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.344629, 35.932516","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-99.301581, 35.670848","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-93.718742, 32.705455","100-161","NOT AVAILABLE"
"-98.323422, 34.543827","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-98.379383, 30.542137","100-161","PEDERNALES ELECTRIC COOP, INC"
"-97.907475, 36.192794","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.578149, 35.324239","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.066089, 34.609493","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-96.915203, 35.422613","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.874246, 30.350972","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.362377, 26.051640","100-161","BROWNSVILLE PUBLIC UTILITIES BOARD"
"-96.677691, 29.690104","100-161","BLUEBONNET ELECTRIC COOP, INC"
"-97.117467, 36.069512","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.524919, 35.639245","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-95.321586, 29.813770","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-96.408333, 35.943499","100-161","NOT AVAILABLE"
"-99.250683, 28.453702","100-161","AEP TEXAS CENTRAL COMPANY"
"-96.299157, 32.033109","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.023463, 32.823788","100-161","ONCOR ELECTRIC DELIVERY CO."
"-95.099284, 29.720335","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-99.223396, 34.840773","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-97.582927, 35.513298","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.592390, 35.536093","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.375652, 35.001518","100-161","NOT AVAILABLE"
"-97.073472, 32.744594","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.497878, 35.199430","100-161","NOT AVAILABLE"
"-95.018519, 29.753141","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-96.454821, 33.829904","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-96.483843, 29.718074","100-161","BLUEBONNET ELECTRIC COOP, INC"
"-94.486692, 32.472223","100-161","UPSHUR RURAL ELEC COOP CORP"
"-98.592882, 29.361426","100-161","BANDERA ELECTRIC COOP, INC"
"-96.734158, 34.012988","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-96.980077, 31.526703","100-161","ONCOR ELECTRIC DELIVERY CO."
"-106.871758, 32.327545","100-161","EL PASO ELECTRIC POWER COMPANY"
"-98.396948, 26.212413","100-161","AEP TEXAS CENTRAL CO."
"-99.293919, 32.393707","100-161","AEP TEXAS NORTH CO."
"-93.996025, 29.991529","100-161","ENTERGY TEXAS, INC."
"-98.758166, 33.108719","100-161","ONCOR ELECTRIC DELIVERY CO."
"-95.366796, 34.004007","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-96.369318, 33.628382","100-161","ONCOR ELECTRIC DELIVERY CO."
"-99.422866, 35.139415","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-95.667253, 29.924427","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-96.694426, 32.980707","100-161","ONCOR ELECTRIC DELIVERY CO."
"-96.225346, 35.805328","100-161","NOT AVAILABLE"
"-97.416775, 35.389211","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-96.521402, 34.654843","100-161","NOT AVAILABLE"
"-97.646062, 34.549483","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-96.716915, 33.382553","100-161","ONCOR ELECTRIC DELIVERY CO."
"-96.709711, 34.775124","100-161","NOT AVAILABLE"
"-96.178404, 34.682677","100-161","NOT AVAILABLE"
"-96.650161, 32.865585","100-161","ONCOR ELECTRIC DELIVERY CO."
"-93.817697, 32.378776","100-161","SOUTHWESTERN ELECTRIC POWER CO"
"-99.090636, 36.123593","100-161","NOT AVAILABLE"
"-97.419958, 27.820480","100-161","AEP TEXAS CENTRAL CO."
"-97.643963, 35.306254","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-98.295069, 26.187019","100-161","AEP"
"-93.861213, 32.781537","100-161","SOUTHWESTERN ELECTRIC POWER CO"
"-96.673831, 32.851047","100-161","ONCOR ELECTRIC DELIVERY CO."
"-96.554327, 28.739983","100-161","AEP TEXAS CENTRAL COMPANY"
"-94.062866, 30.320854","100-161","DEEP EAST TEXAS ELEC COOP INC"
"-95.255090, 29.804278","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-100.626467, 29.358920","100-161","AEP TEXAS CENTRAL COMPANY"
"-101.956182, 33.614300","100-161","CITY OF LUBBOCK - (TX)"
"-97.512668, 35.659164","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-95.452426, 30.032688","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-98.183754, 34.947347","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-96.907349, 34.781810","100-161","NOT AVAILABLE"
"-96.933976, 35.457945","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-96.992742, 34.416951","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-106.624318, 35.063865","100-161","PUBLIC SERVICE COMPANY OF NEW MEXICO"
"-97.532766, 35.472517","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-98.378868, 36.760987","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-93.794999, 32.541051","100-161","SOUTHWESTERN ELECTRIC POWER CO"
"-93.289115, 30.222349","100-161","ENTERGY LOUISIANA LLC"
"-95.716233, 29.671553","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-95.792240, 29.342195","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-98.360129, 36.812012","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-98.358728, 36.761354","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.069357, 32.769857","100-161","ONCOR ELECTRIC DELIVERY CO."
"-98.397337, 36.761259","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-96.681545, 32.767486","100-161","ONCOR ELECTRIC DELIVERY CO."
"-98.522572, 36.761023","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-98.654709, 36.770816","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-96.127550, 33.153960","100-161","ONCOR ELECTRIC DELIVERY CO."
"-95.140974, 29.884120","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-97.795776, 30.399437","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.176822, 33.581367","100-161","ONCOR ELECTRIC DELIVERY CO."
"-98.320338, 29.311069","100-161","BANDERA ELECTRIC COOP, INC"
"-99.369024, 28.051217","100-161","AEP TEXAS CENTRAL COMPANY"
"-97.951849, 29.756003","100-161","BLUEBONNET ELECTRIC COOP, INC"
"-95.403097, 29.629300","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-102.772647, 32.714683","100-161","LEA COUNTY ELECTRIC COOP, INC"
"-96.097432, 30.651423","100-161","MID-SOUTH ELECTRIC COOP ASSN"
"-98.509333, 34.604237","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-98.489965, 34.602510","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-98.474783, 34.605176","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-96.714420, 32.723268","100-161","ONCOR ELECTRIC DELIVERY CO."
"-98.304870, 35.295467","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-98.353526, 35.291032","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-98.405973, 35.324988","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-98.309658, 35.291140","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-95.368008, 29.887003","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-101.879015, 33.541292","100-161","CITY OF LUBBOCK - (TX)"
"-95.398160, 29.676966","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-95.448937, 29.648579","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-95.481220, 30.291193","100-161","ENTERGY TEXAS, INC."
"-97.685648, 33.223748","100-161","ONCOR ELECTRIC DELIVERY CO."
"-96.367866, 33.628535","100-161","ONCOR ELECTRIC DELIVERY CO."
"-94.781156, 30.614624","100-161","CITY OF LIVINGSTON - (TX)"
"-96.425169, 34.148025","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.092498, 34.134001","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-95.657256, 34.181059","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-95.357941, 28.984457","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-95.686950, 32.537382","100-161","ONCOR ELECTRIC DELIVERY CO."
"-96.760770, 32.933072","100-161","ONCOR ELECTRIC DELIVERY CO."
"-102.567010, 32.032512","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.138303, 34.328283","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-100.838475, 32.149753","100-161","CONCHO VALLEY ELEC COOP INC"
"-96.663472, 32.777049","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.012270, 35.667849","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-98.967801, 35.552727","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-97.258609, 34.821334","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-99.428200, 36.319446","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-93.737049, 30.258969","100-161","DEEP EAST TEXAS ELEC COOP INC"
"-97.832621, 30.177690","100-161","ONCOR ELECTRIC DELIVERY CO."
"-96.055926, 31.820066","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.140187, 34.702852","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-95.864875, 30.149317","100-161","CITY OF HEMPSTEAD"
"-96.496633, 34.086108","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-99.360720, 35.436229","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-108.126672, 32.776314","100-161","PUBLIC SERVICE COMPANY OF NEW MEXICO"
"-95.524936, 29.938685","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-94.953432, 30.036241","100-161","ENTERGY TEXAS, INC."
"-96.216637, 34.484171","100-161","NOT AVAILABLE"
"-98.384277, 35.959601","100-161","NOT AVAILABLE"
"-96.495566, 34.085412","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-98.240845, 35.625558","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.520266, 34.296442","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-96.665640, 32.886080","100-161","ONCOR ELECTRIC DELIVERY CO."
"-95.712843, 29.064793","100-161","TEXAS-NEW MEXICO POWER CO."
"-96.694270, 34.671250","100-161","NOT AVAILABLE"
"-95.388604, 29.696404","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-96.349497, 30.165191","100-161","BLUEBONNET ELECTRIC COOP, INC"
"-97.759286, 32.490411","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.685882, 36.325908","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.456995, 31.805778","100-161","ONCOR ELECTRIC DELIVERY CO."
"-95.847299, 34.771125","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-93.906005, 32.363193","100-161","SOUTHWESTERN ELECTRIC POWER CO"
"-95.286973, 33.990666","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-95.211666, 29.254049","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-96.400588, 33.817398","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.721769, 26.468160","100-161","AEP TEXAS CENTRAL COMPANY"
"-97.639753, 35.552449","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-98.351550, 35.101128","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-96.760277, 34.140287","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.773957, 36.250460","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-95.323249, 34.650624","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-96.713179, 32.648016","100-161","ONCOR ELECTRIC DELIVERY CO."
"-95.232229, 34.030635","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-98.414056, 29.409130","100-161","BANDERA ELECTRIC COOP, INC"
"-97.052273, 36.204892","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-94.757244, 34.053812","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-97.365552, 35.242397","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.360784, 31.075437","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.469867, 35.394069","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-98.328120, 35.118671","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-97.672521, 30.004313","100-161","BLUEBONNET ELECTRIC COOP, INC"
"-98.477606, 33.873392","100-161","ONCOR ELECTRIC DELIVERY CO."
"-99.267714, 35.932967","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-102.229579, 31.935709","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.423239, 35.276970","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-100.022249, 32.194141","100-161","TAYLOR ELECTRIC COOP INC - (TX)"
"-93.846576, 32.644185","100-161","SOUTHWESTERN ELECTRIC POWER CO"
"-97.240454, 32.913515","100-161","ONCOR ELECTRIC DELIVERY CO."
"-99.692874, 35.255093","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-102.840968, 32.906633","100-161","LEA COUNTY ELECTRIC COOP, INC"
"-97.305989, 32.787139","100-161","ONCOR ELECTRIC DELIVERY CO."
"-96.971135, 36.087272","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-94.442533, 32.433013","100-161","SOUTHWESTERN ELECTRIC POWER CO"
"-102.412776, 31.953256","100-161","ONCOR ELECTRIC DELIVERY CO."
"-99.398941, 35.267094","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-95.375176, 29.963768","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-96.734546, 32.696114","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.747071, 29.163201","100-161","AEP TEXAS CENTRAL COMPANY"
"-93.684359, 32.521553","100-161","NOT AVAILABLE"
"-97.322751, 31.412101","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.385538, 35.685950","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-96.425264, 33.986194","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.956263, 33.101061","100-161","ONCOR ELECTRIC DELIVERY CO."
"-97.535787, 35.490717","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.164356, 36.023502","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-95.685114, 34.985031","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-99.302679, 34.645273","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-97.056786, 34.770640","100-161","NOT AVAILABLE"
"-97.844259, 30.432172","100-161","ONCOR ELECTRIC DELIVERY CO."
"-96.595966, 34.760925","100-161","NOT AVAILABLE"
"-97.271323, 32.736933","100-161","ONCOR ELECTRIC DELIVERY CO."
"-96.789498, 34.701473","100-161","NOT AVAILABLE"
"-97.137401, 35.531612","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.612208, 35.578746","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.212744, 34.176985","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-98.648132, 34.586631","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-96.893869, 33.066536","100-161","ONCOR ELECTRIC DELIVERY CO."
"-99.287437, 35.702973","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-93.867009, 32.817578","100-161","SOUTHWESTERN ELECTRIC POWER CO"
"-97.402200, 27.934049","100-161","AEP TEXAS CENTRAL COMPANY"
"-97.287114, 34.144784","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.285330, 32.648269","100-161","ONCOR ELECTRIC DELIVERY CO."
"-98.773273, 36.692407","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-98.772927, 36.740157","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-97.379392, 35.491502","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-93.369802, 30.861783","100-161","NOT AVAILABLE"
"-98.773111, 36.739960","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-93.700637, 32.696924","100-161","NOT AVAILABLE"
"-99.052116, 34.633612","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-98.323434, 34.543657","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-97.585607, 33.202985","100-161","ONCOR ELECTRIC DELIVERY CO."
"-98.692106, 36.094461","100-161","NOT AVAILABLE"
"-96.467756, 33.855922","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-103.323385, 32.978263","100-161","LEA COUNTY ELECTRIC COOPERATIVE"
"-98.134747, 34.532388","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-97.048928, 35.564838","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-93.924373, 32.818694","100-161","SOUTHWESTERN ELECTRIC POWER CO"
"-97.397278, 35.264710","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-94.853536, 33.922681","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-99.824038, 35.370030","100-161","PUBLIC SERVICE CO OF OKLAHOMA"
"-102.711440, 32.710025","100-161","SOUTHWESTERN PUBLIC SERVICE CO."
"-95.741086, 29.067728","100-161","TEXAS-NEW MEXICO POWER CO."
"-96.528420, 32.771438","100-161","FARMERS ELECTRIC COOP, INC - (TX)"
"-95.484129, 29.685961","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-95.097086, 29.601167","100-161","CENTERPOINT ENERGY HOUSTON ELECTRIC, LLC"
"-99.227434, 36.436010","100-161","OKLAHOMA GAS & ELECTRIC CO"
"-96.245990, 35.110751","100-161","SOUTHWESTERN POWER ADMINISTRATION"
